Stat_Name,Total Points
Goals Openplay,0.8949498239797641
Clean Sheets,0.8105774898924327
Goals From Inside Box,0.7838717566571924
Goals,0.7654893452545399
Total Passes,0.7508657520774171
Open Play Passes,0.7477039162813903
Total Successful Passes ( Excl Crosses & Corners ),0.7406171097099765
Successful Open Play Passes,0.7376713401005317
Successful Short Passes,0.7312632185272752
Successful Passes Own Half,0.6686379609511925
Possession Percentage,0.6668670332107104
Successful Passes Opposition Half,0.6609965008471238
Total Shots,0.6339968117949886
Shots On Target ( Inc Goals ),0.6304526750364556
Goal Assists,0.624479802285272
Key Passes (Attempt Assists),0.6053557612132566
Home Goals,0.6042303577240524
Passing Accuracy,0.6035388237847615
Accuracy (%),0.5904336645557209
Away Goals,0.5868982917701833
Corners Won,0.5862916077128401
Corners,0.5862916077128401
Corners Taken (Incl Short Corners),0.5862916077128401
Overruns,0.5445470149667618
Shots Off Target (Inc Woodwork),0.5425583412575528
Passing % Opp Half,0.5403602158705687
Times Tackled,0.5051121855568257
Right Foot Goals,0.5042360373829942
Blocked Shots,0.4937152998034762
Goal Conversion,0.4908400661293702
Throw Ins To Own Player,0.47984784626936916
Ground Duels Lost,0.4687939849949009
Ground Duels,0.4649506498719585
Left Foot Goals,0.4617156623001822
Unsuccessful Dribbles,0.4596115485710351
Hit Woodwork,0.45375382640395484
Gk Successful Distribution,0.4486892892633047
Number Of Defensive Actions,0.40575342554863053
Total Offside,0.3868490681381118
Offsides,0.3868490681381118
Total Fouls Won,0.3794866310365164
Fouls Suffered,0.3794866310365164
Ground Duels Won,0.3702278601125755
Unsuccessful Short Passes,0.3662914309184815
Total Losses Of Possession,0.36571144896355373
Own Goals Accrued,0.34838319261161105
Successful Long Passes,0.34783523736246846
Duels,0.34607157423805146
Other Goals,0.3377489381600702
Headed Goals,0.3338496317354962
Putthrough/Blocked Distribution,0.32882664325456407
Duels Won,0.32098179119723486
Unsuccessful Crosses Open Play,0.312013311351381
Successful Crosses Open Play,0.30418401651644233
Duels Lost,0.29993597515713594
Goal Kicks,0.29698811366322747
Total Fouls Conceded,0.2881640497102427
Fouls Committed,0.2881640497102427
Unsuccessful Crosses & Corners,0.2762442811987391
Recoveries,0.2579653583233073
Penalties Taken,0.2526608340298108
Foul Won Penalty,0.2526608340298108
Unsuccessful Passes Opposition Half,0.2476128410571761
Foul Attempted Tackle,0.24505462224755833
Penalty Kick Taken,0.23370999369546652
Successful Crosses & Corners,0.2334816738415508
Number Of Opposition Passes,0.22824759267473163
Successful Dribbles,0.1996619882028715
Goals From Outside Box,0.19759097885744034
Unsuccessful Corners Into Box,0.1752072276967997
Yellow Cards,0.1719374770585856
Successful Lay-Offs,0.1712686481781261
Total Unsuccessful Passes ( Excl Crosses & Corners ),0.1381906800206252
Successful Corners Into Box,0.13598806688908344
Shooting Accuracy,0.12804068626330875
Handballs Conceded,0.11651652512714707
Tackles Lost,0.09414761936759286
Putthrough/Blocked Distribution Won,0.09290987041081634
Tackles Won,0.08627145007503906
Set Pieces Goals,0.0804067286212873
Last Player Tackle,0.0692108158406604
Aerial Duels Won,0.0642839405867548
Penalty Goals,0.0593541334957244
Interceptions,0.057263896104485075
Clearances Off The Line,0.05595902590531452
Crossing Accuracy,0.03623152654125493
Throw Ins To Opposition Player,0.03063194074026777
Attempts From Set Pieces,0.00419365763991941
Points Gained From Losing Positions,0.0013098995614912717
Aerial Duels Won Percentage,-0.0004497357311720428
Shots On Conceded Outside Box,-0.002019561578006929
Blocks,-0.012214653064669892
Duels Won Percentage,-0.022773191627044498
Penalties Saved,-0.023432171374400818
Cross Complete Percentage,-0.030232340961429616
Tackles Won Percentage,-0.038620069698572415
Catches,-0.044366841228366975
Tackle Success,-0.046040988059432686
Aerial Duels,-0.06041565011190055
Unsuccessful Passes Own Half,-0.061759461394016946
Last Man Tackle,-0.12735366466935158
Goals Conceded Outside Box,-0.13842237134994229
Unsuccessful Launches,-0.15060270946170876
Aerial Duels Lost,-0.1849674200509975
Drops,-0.19650160319126903
Successful Launches,-0.20337590107405806
Unsuccessful Lay-Offs,-0.21352217887031702
Straight Red Cards,-0.24421686724265473
Unsuccessful Long Passes,-0.26219285828765937
Total Clearances,-0.2631322248434406
Ppda,-0.265924635764478
Points Dropped From Winning Positions,-0.2958143208519827
Red Cards,-0.29960310905133364
Total Shots Conceded,-0.2998974447186292
Red Card - 2Nd Yellow,-0.30307381536640515
Total Red Cards,-0.3422717867643454
Penalty Conceded,-0.36938766545880347
Penalty Goals Conceded,-0.3694953217310847
Penalties Conceded,-0.39409454863275023
Own Goals Conceded,-0.4593141678935962
Gk Unsuccessful Distribution,-0.5572039671914807
Shots On Conceded Inside Box,-0.7061616552668805
Goals Conceded Inside Box,-0.7855931495891426
