Season,Date,HomeTeam,AwayTeam,HomeScore,AwayScore,Status,Venue
2023,2023-04-15T17:00:00Z,Atlético Ottawa,HFX Wanderers,1,1,FINISHED,TD Place Stadium
2023,2023-04-15T20:00:00Z,Forge,Cavalry,2,2,FINISHED,Hamilton Stadium
2023,2023-04-15T23:00:00Z,Pacific,Vancouver FC,1,0,FINISHED,Starlight Stadium
2023,2023-04-16T18:00:00Z,York United,Valour,0,2,FINISHED,York Lions Stadium
2023,2023-04-22T17:00:00Z,York United,Vancouver FC,1,2,FINISHED,York Lions Stadium
2023,2023-04-22T20:00:00Z,Forge,HFX Wanderers,1,1,FINISHED,Hamilton Stadium
2023,2023-04-22T23:00:00Z,Valour,Atlético Ottawa,1,1,FINISHED,Princess Auto Stadium
2023,2023-04-23T20:00:00Z,Pacific,Cavalry,1,1,FINISHED,Starlight Stadium
2023,2023-04-29T18:00:00Z,HFX Wanderers,Vancouver FC,1,1,FINISHED,Wanderers Grounds
2023,2023-04-29T21:00:00Z,Atlético Ottawa,York United,0,1,FINISHED,TD Place Stadium
2023,2023-04-30T21:00:00Z,Cavalry,Valour,1,1,FINISHED,ATCO Field
2023,2023-05-01T00:00:00Z,Pacific,Forge,0,1,FINISHED,Starlight Stadium
2023,2023-05-05T23:30:00Z,York United,Forge,0,1,FINISHED,York Lions Stadium
2023,2023-05-06T20:00:00Z,Valour,HFX Wanderers,0,0,FINISHED,Princess Auto Stadium
2023,2023-05-06T23:00:00Z,Atlético Ottawa,Pacific,1,4,FINISHED,TD Place Stadium
2023,2023-05-07T23:00:00Z,Vancouver FC,Cavalry,1,1,FINISHED,Willoughby Community Park at the Langley Events Centre
2023,2023-05-13T20:00:00Z,Forge,Valour,3,2,FINISHED,Hamilton Stadium
2023,2023-05-13T23:00:00Z,Cavalry,HFX Wanderers,2,2,FINISHED,ATCO Field
2023,2023-05-14T01:30:00Z,Vancouver FC,Atlético Ottawa,0,5,FINISHED,Willoughby Community Park at the Langley Events Centre
2023,2023-05-14T22:00:00Z,Pacific,York United,4,1,FINISHED,Starlight Stadium
2023,2023-05-19T23:00:00Z,Forge,Vancouver FC,0,0,FINISHED,Hamilton Stadium
2023,2023-05-20T18:00:00Z,HFX Wanderers,York United,0,3,FINISHED,Wanderers Grounds
2023,2023-05-20T21:00:00Z,Valour,Pacific,1,1,FINISHED,Princess Auto Stadium
2023,2023-05-21T23:00:00Z,Cavalry,Atlético Ottawa,2,0,FINISHED,ATCO Field
2023,2023-05-27T18:00:00Z,Atlético Ottawa,Forge,0,1,FINISHED,TD Place Stadium
2023,2023-05-28T02:00:00Z,Pacific,HFX Wanderers,1,1,FINISHED,Starlight Stadium
2023,2023-05-28T21:00:00Z,York United,Cavalry,1,0,FINISHED,York Lions Stadium
2023,2023-05-29T00:00:00Z,Vancouver FC,Valour,0,0,FINISHED,Willoughby Community Park at the Langley Events Centre
2023,2023-05-31T23:00:00Z,Forge,York United,1,2,FINISHED,Hamilton Stadium
2023,2023-06-03T02:00:00Z,Vancouver FC,Pacific,3,6,FINISHED,Willoughby Community Park at the Langley Events Centre
2023,2023-06-03T20:00:00Z,Cavalry,Forge,1,1,FINISHED,ATCO Field
2023,2023-06-03T23:00:00Z,Atlético Ottawa,HFX Wanderers,2,0,FINISHED,TD Place Stadium
2023,2023-06-04T19:00:00Z,Valour,York United,1,1,FINISHED,Princess Auto Stadium
2023,2023-06-09T23:30:00Z,York United,Atlético Ottawa,2,1,FINISHED,York Lions Stadium
2023,2023-06-10T17:00:00Z,HFX Wanderers,Valour,2,0,FINISHED,Wanderers Grounds
2023,2023-06-10T23:00:00Z,Forge,Pacific,0,1,FINISHED,Hamilton Stadium
2023,2023-06-11T21:00:00Z,Cavalry,Vancouver FC,3,1,FINISHED,ATCO Field
2023,2023-06-17T00:00:00Z,Valour,Forge,2,0,FINISHED,Princess Auto Stadium
2023,2023-06-17T18:00:00Z,Atlético Ottawa,Vancouver FC,1,0,FINISHED,TD Place Stadium
2023,2023-06-17T18:00:00Z,HFX Wanderers,Cavalry,3,1,FINISHED,Wanderers Grounds
2023,2023-06-18T20:00:00Z,Pacific,York United,1,0,FINISHED,Starlight Stadium
2023,2023-06-21T02:00:00Z,Vancouver FC,Forge,2,0,FINISHED,Willoughby Community Park at the Langley Events Centre
2023,2023-06-21T23:00:00Z,York United,HFX Wanderers,2,2,FINISHED,York Lions Stadium
2023,2023-06-22T02:00:00Z,Pacific,Valour,1,0,FINISHED,Starlight Stadium
2023,2023-06-24T21:00:00Z,Cavalry,York United,2,1,FINISHED,ATCO Field
2023,2023-06-25T19:00:00Z,Valour,Vancouver FC,1,0,FINISHED,Princess Auto Stadium
2023,2023-06-25T22:00:00Z,Forge,Atlético Ottawa,4,3,FINISHED,Hamilton Stadium
2023,2023-06-30T22:00:00Z,HFX Wanderers,Forge,2,1,FINISHED,Wanderers Grounds
2023,2023-07-01T01:30:00Z,Pacific,Atlético Ottawa,2,2,FINISHED,Starlight Stadium
2023,2023-07-01T19:00:00Z,Valour,Cavalry,0,2,FINISHED,Princess Auto Stadium
2023,2023-07-02T20:30:00Z,Vancouver FC,York United,1,2,FINISHED,Willoughby Community Park at the Langley Events Centre
2023,2023-07-08T02:00:00Z,Vancouver FC,HFX Wanderers,2,1,FINISHED,Willoughby Community Park at the Langley Events Centre
2023,2023-07-09T01:00:00Z,Pacific,Cavalry,1,2,FINISHED,Starlight Stadium
2023,2023-07-09T19:00:00Z,Atlético Ottawa,Valour,2,0,FINISHED,TD Place Stadium
2023,2023-07-09T23:30:00Z,York United,Forge,0,4,FINISHED,York Lions Stadium
2023,2023-07-11T23:00:00Z,HFX Wanderers,Pacific,2,1,FINISHED,Wanderers Grounds
2023,2023-07-13T00:30:00Z,Cavalry,Atlético Ottawa,0,2,FINISHED,ATCO Field
2023,2023-07-14T23:30:00Z,York United,Pacific,0,0,FINISHED,York Lions Stadium
2023,2023-07-15T20:00:00Z,Cavalry,HFX Wanderers,1,0,FINISHED,ATCO Field
2023,2023-07-15T23:00:00Z,Forge,Valour,1,1,FINISHED,Hamilton Stadium
2023,2023-07-16T18:00:00Z,Atlético Ottawa,Vancouver FC,3,1,FINISHED,TD Place Stadium
2023,2023-07-22T02:00:00Z,Pacific,Forge,0,2,FINISHED,Starlight Stadium
2023,2023-07-22T23:00:00Z,Vancouver FC,Cavalry,1,5,FINISHED,Willoughby Community Park at the Langley Events Centre
2023,2023-07-23T20:00:00Z,HFX Wanderers,Atlético Ottawa,1,0,FINISHED,Wanderers Grounds
2023,2023-07-23T23:00:00Z,Valour,York United,1,2,FINISHED,Princess Auto Stadium
2023,2023-07-28T23:00:00Z,Forge,Vancouver FC,2,0,FINISHED,Hamilton Stadium
2023,2023-07-29T20:00:00Z,Valour,Pacific,0,3,FINISHED,Princess Auto Stadium
2023,2023-07-29T23:00:00Z,Atlético Ottawa,Cavalry,1,0,FINISHED,TD Place Stadium
