Season,Date,HomeTeam,AwayTeam,HomeScore,AwayScore,Status,Venue
2024,2024-04-13T17:00:00Z,Atlético Ottawa,Inter Toronto,2,1,FINISHED,TD Place Stadium
2024,2024-04-13T20:00:00Z,Forge,Cavalry,2,1,FINISHED,Hamilton Stadium
2024,2024-04-13T23:00:00Z,Pacific,HFX Wanderers,1,0,FINISHED,Starlight Stadium
2024,2024-04-14T23:00:00Z,Vancouver FC,Valour,4,1,FINISHED,Willoughby Community Park at the Langley Events Centre
2024,2024-04-19T02:00:00Z,Vancouver FC,HFX Wanderers,2,0,FINISHED,Willoughby Community Park at the Langley Events Centre
2024,2024-04-20T02:00:00Z,Pacific,Valour,2,0,FINISHED,Starlight Stadium
2024,2024-04-20T18:00:00Z,Atlético Ottawa,Cavalry,1,1,FINISHED,TD Place Stadium
2024,2024-04-21T20:00:00Z,Inter Toronto,Forge,0,3,FINISHED,York Lions Stadium
2024,2024-04-26T23:00:00Z,Inter Toronto,Vancouver FC,3,0,FINISHED,York Lions Stadium
2024,2024-04-27T17:00:00Z,HFX Wanderers,Atlético Ottawa,1,3,FINISHED,Wanderers Grounds
2024,2024-04-27T20:00:00Z,Forge,Valour,2,1,FINISHED,Hamilton Stadium
2024,2024-04-28T21:00:00Z,Cavalry,Pacific,0,0,FINISHED,ATCO Field
2024,2024-05-04T01:00:00Z,Cavalry,Vancouver FC,3,1,FINISHED,ATCO Field
2024,2024-05-04T23:00:00Z,Pacific,Inter Toronto,2,0,FINISHED,Starlight Stadium
2024,2024-05-05T18:00:00Z,Atlético Ottawa,Valour,2,0,FINISHED,TD Place Stadium
2024,2024-05-10T23:00:00Z,Inter Toronto,Valour,3,1,FINISHED,York Lions Stadium
2024,2024-05-11T18:00:00Z,HFX Wanderers,Cavalry,1,1,FINISHED,Wanderers Grounds
2024,2024-05-11T21:00:00Z,Pacific,Forge,0,0,FINISHED,Starlight Stadium
2024,2024-05-12T23:00:00Z,Vancouver FC,Atlético Ottawa,1,1,FINISHED,Willoughby Community Park at the Langley Events Centre
2024,2024-05-18T02:00:00Z,Pacific,Atlético Ottawa,0,1,FINISHED,Starlight Stadium
2024,2024-05-18T20:00:00Z,Forge,Vancouver FC,1,2,FINISHED,Hamilton Stadium
2024,2024-05-18T23:00:00Z,Cavalry,Inter Toronto,2,2,FINISHED,ATCO Field
2024,2024-05-20T19:00:00Z,HFX Wanderers,Valour,1,2,FINISHED,Wanderers Grounds
2024,2024-05-24T23:00:00Z,Inter Toronto,HFX Wanderers,2,1,FINISHED,York Lions Stadium
2024,2024-05-25T19:00:00Z,Atlético Ottawa,Forge,3,0,FINISHED,TD Place Stadium
2024,2024-05-25T22:00:00Z,Vancouver FC,Pacific,2,1,FINISHED,Willoughby Community Park at the Langley Events Centre
2024,2024-05-26T21:00:00Z,Cavalry,Valour,1,1,FINISHED,ATCO Field
2024,2024-06-01T20:00:00Z,Forge,Inter Toronto,3,0,FINISHED,Hamilton Stadium
2024,2024-06-01T23:00:00Z,Pacific,Cavalry,1,1,FINISHED,Starlight Stadium
2024,2024-06-02T18:00:00Z,Atlético Ottawa,HFX Wanderers,2,2,FINISHED,TD Place Stadium
2024,2024-06-02T22:55:00Z,Valour,Vancouver FC,2,0,FINISHED,Princess Auto Stadium
2024,2024-06-08T18:00:00Z,HFX Wanderers,Pacific,0,0,FINISHED,Wanderers Grounds
2024,2024-06-08T21:00:00Z,Cavalry,Forge,1,0,FINISHED,ATCO Field
2024,2024-06-09T17:30:00Z,Valour,Atlético Ottawa,0,2,FINISHED,Princess Auto Stadium
2024,2024-06-09T22:00:00Z,Inter Toronto,Vancouver FC,2,2,FINISHED,York Lions Stadium
2024,2024-06-15T00:00:00Z,Valour,Pacific,2,3,FINISHED,Princess Auto Stadium
2024,2024-06-15T17:00:00Z,Atlético Ottawa,Inter Toronto,1,2,FINISHED,TD Place Stadium
2024,2024-06-15T20:00:00Z,HFX Wanderers,Forge,2,2,FINISHED,Wanderers Grounds
2024,2024-06-16T21:00:00Z,Vancouver FC,Cavalry,0,0,FINISHED,Apple Bowl
2024,2024-06-19T23:00:00Z,Inter Toronto,Pacific,2,0,FINISHED,York Lions Stadium
2024,2024-06-22T01:00:00Z,Cavalry,Atlético Ottawa,1,1,FINISHED,ATCO Field
2024,2024-06-23T20:00:00Z,Forge,Valour,2,1,FINISHED,Hamilton Stadium
2024,2024-06-23T23:00:00Z,Vancouver FC,HFX Wanderers,0,4,FINISHED,Willoughby Community Park at the Langley Events Centre
2024,2024-06-27T23:30:00Z,Valour,Inter Toronto,1,0,FINISHED,Princess Auto Stadium
2024,2024-06-28T02:30:00Z,Pacific,Vancouver FC,1,2,FINISHED,Starlight Stadium
2024,2024-06-28T23:00:00Z,Atlético Ottawa,Forge,4,3,FINISHED,TD Place Stadium
2024,2024-07-01T20:00:00Z,HFX Wanderers,Cavalry,1,0,FINISHED,Wanderers Grounds
2024,2024-07-05T23:00:00Z,Forge,Vancouver FC,3,3,FINISHED,Hamilton Stadium
2024,2024-07-06T20:00:00Z,Inter Toronto,HFX Wanderers,2,1,FINISHED,York Lions Stadium
2024,2024-07-07T17:00:00Z,Atlético Ottawa,Pacific,0,1,FINISHED,TD Place Stadium
2024,2024-07-07T21:00:00Z,Valour,Cavalry,0,1,FINISHED,Princess Auto Stadium
2024,2024-07-13T02:00:00Z,Vancouver FC,Atlético Ottawa,0,3,FINISHED,Willoughby Community Park at the Langley Events Centre
2024,2024-07-13T20:00:00Z,Cavalry,Inter Toronto,1,2,FINISHED,ATCO Field
2024,2024-07-14T23:00:00Z,Forge,Pacific,2,1,FINISHED,Hamilton Stadium
2024,2024-07-18T22:00:00Z,HFX Wanderers,Valour,3,1,FINISHED,Wanderers Grounds
2024,2024-07-20T22:00:00Z,Vancouver FC,Inter Toronto,1,1,FINISHED,Willoughby Community Park at the Langley Events Centre
2024,2024-07-21T18:00:00Z,Atlético Ottawa,Valour,2,2,FINISHED,TD Place Stadium
2024,2024-07-21T21:00:00Z,Cavalry,Forge,1,1,FINISHED,ATCO Field
2024,2024-07-26T23:00:00Z,Inter Toronto,Atlético Ottawa,4,1,FINISHED,York Lions Stadium
2024,2024-07-27T02:00:00Z,Vancouver FC,Cavalry,0,1,FINISHED,Willoughby Community Park at the Langley Events Centre
2024,2024-07-27T23:00:00Z,Forge,HFX Wanderers,3,0,FINISHED,Hamilton Stadium
2024,2024-07-28T21:00:00Z,Pacific,Valour,0,3,FINISHED,Starlight Stadium
2024,2024-08-03T02:00:00Z,Pacific,Inter Toronto,1,1,FINISHED,Starlight Stadium
2024,2024-08-03T23:00:00Z,Atlético Ottawa,Cavalry,1,2,FINISHED,TD Place Stadium
2024,2024-08-04T19:00:00Z,Valour,Forge,2,1,FINISHED,Princess Auto Stadium
2024,2024-08-05T19:00:00Z,HFX Wanderers,Vancouver FC,3,2,FINISHED,Wanderers Grounds
2024,2024-08-10T20:00:00Z,Cavalry,HFX Wanderers,3,2,FINISHED,ATCO Field
2024,2024-08-10T23:00:00Z,Forge,Atlético Ottawa,3,0,FINISHED,Hamilton Stadium
2024,2024-08-11T21:15:00Z,Vancouver FC,Pacific,1,0,FINISHED,Willoughby Community Park at the Langley Events Centre
2024,2024-08-12T00:00:00Z,Valour,Inter Toronto,0,1,FINISHED,Princess Auto Stadium
2024,2024-08-14T23:00:00Z,Forge,HFX Wanderers,2,0,FINISHED,Hamilton Stadium
2024,2024-08-17T00:00:00Z,Inter Toronto,Cavalry,1,2,FINISHED,York Lions Stadium
2024,2024-08-17T22:00:00Z,Pacific,Atlético Ottawa,0,3,FINISHED,Starlight Stadium
2024,2024-08-18T00:30:00Z,Valour,HFX Wanderers,2,1,FINISHED,Princess Auto Stadium
2024,2024-08-18T23:00:00Z,Vancouver FC,Forge,1,2,FINISHED,Willoughby Community Park at the Langley Events Centre
2024,2024-08-24T00:00:00Z,Inter Toronto,Forge,0,0,FINISHED,York Lions Stadium
2024,2024-08-24T18:00:00Z,HFX Wanderers,Atlético Ottawa,1,1,FINISHED,Wanderers Grounds
2024,2024-08-24T21:00:00Z,Cavalry,Pacific,1,0,FINISHED,ATCO Field
2024,2024-08-25T19:00:00Z,Valour,Vancouver FC,1,2,FINISHED,Princess Auto Stadium
2024,2024-08-30T23:00:00Z,Forge,Pacific,2,0,FINISHED,Hamilton Stadium
2024,2024-08-31T01:30:00Z,Cavalry,Valour,2,2,FINISHED,ATCO Field
2024,2024-08-31T23:00:00Z,Atlético Ottawa,Vancouver FC,1,0,FINISHED,TD Place Stadium
2024,2024-09-02T19:00:00Z,HFX Wanderers,Inter Toronto,2,1,FINISHED,Wanderers Grounds
2024,2024-09-07T02:00:00Z,Vancouver FC,Inter Toronto,0,1,FINISHED,Willoughby Community Park at the Langley Events Centre
2024,2024-09-07T23:00:00Z,Forge,Cavalry,2,1,FINISHED,Hamilton Stadium
2024,2024-09-08T02:00:00Z,Pacific,HFX Wanderers,3,0,FINISHED,Starlight Stadium
2024,2024-09-10T00:00:00Z,Valour,Atlético Ottawa,1,1,FINISHED,Princess Auto Stadium
2024,2024-09-14T00:00:00Z,Inter Toronto,Valour,1,1,FINISHED,York Lions Stadium
2024,2024-09-14T18:00:00Z,HFX Wanderers,Forge,3,0,FINISHED,Wanderers Grounds
2024,2024-09-14T21:00:00Z,Pacific,Vancouver FC,3,0,FINISHED,Starlight Stadium
2024,2024-09-15T21:00:00Z,Cavalry,Atlético Ottawa,2,2,FINISHED,ATCO Field
2024,2024-09-18T22:00:00Z,HFX Wanderers,Pacific,2,2,FINISHED,Wanderers Grounds
2024,2024-09-21T00:00:00Z,Inter Toronto,Cavalry,0,2,FINISHED,York Lions Stadium
2024,2024-09-21T19:00:00Z,Valour,HFX Wanderers,1,1,FINISHED,Princess Auto Stadium
2024,2024-09-21T22:00:00Z,Vancouver FC,Forge,1,3,FINISHED,Willoughby Community Park at the Langley Events Centre
2024,2024-09-22T18:00:00Z,Atlético Ottawa,Pacific,1,1,FINISHED,TD Place Stadium
2024,2024-09-28T20:00:00Z,Forge,Inter Toronto,2,0,FINISHED,Hamilton Stadium
2024,2024-09-28T23:00:00Z,Cavalry,Vancouver FC,0,0,FINISHED,ATCO Field
2024,2024-09-29T18:00:00Z,Atlético Ottawa,HFX Wanderers,1,1,FINISHED,TD Place Stadium
2024,2024-10-01T00:00:00Z,Valour,Pacific,1,0,FINISHED,Princess Auto Stadium
2024,2024-10-05T18:00:00Z,HFX Wanderers,Vancouver FC,1,1,FINISHED,Wanderers Grounds
