Season,Date,HomeTeam,AwayTeam,HomeScore,AwayScore,Status,Venue
2022,2022-04-07T23:30:00Z,York United,HFX Wanderers,0,1,FINISHED,York Lions Stadium
2022,2022-04-09T19:00:00Z,Atlético Ottawa,Cavalry,1,0,FINISHED,TD Place Stadium
2022,2022-04-10T20:00:00Z,Edmonton,Valour,1,1,FINISHED,Clarke Field
2022,2022-04-10T23:00:00Z,Pacific,Forge,2,1,FINISHED,Starlight Stadium
2022,2022-04-16T01:00:00Z,Edmonton,York United,1,1,FINISHED,Clarke Field
2022,2022-04-16T17:00:00Z,Atlético Ottawa,HFX Wanderers,1,0,FINISHED,TD Place Stadium
2022,2022-04-16T20:00:00Z,Forge,Cavalry,2,2,FINISHED,Hamilton Stadium
2022,2022-04-17T20:00:00Z,Pacific,Valour,3,2,FINISHED,Starlight Stadium
2022,2022-04-22T23:30:00Z,York United,Cavalry,2,0,FINISHED,York Lions Stadium
2022,2022-04-23T20:00:00Z,Forge,Edmonton,3,0,FINISHED,Hamilton Stadium
2022,2022-04-23T23:00:00Z,Pacific,HFX Wanderers,2,1,FINISHED,Starlight Stadium
2022,2022-04-24T19:00:00Z,Atlético Ottawa,Valour,1,6,FINISHED,TD Place Stadium
2022,2022-04-28T01:00:00Z,Edmonton,Pacific,0,0,FINISHED,Clarke Field
2022,2022-04-29T23:30:00Z,York United,Atlético Ottawa,2,2,FINISHED,York Lions Stadium
2022,2022-04-30T18:00:00Z,HFX Wanderers,Edmonton,3,1,FINISHED,Wanderers Grounds
2022,2022-05-01T21:30:00Z,Cavalry,Pacific,2,0,FINISHED,ATCO Field
2022,2022-05-06T23:00:00Z,York United,Forge,1,0,FINISHED,York Lions Stadium
2022,2022-05-07T02:00:00Z,Edmonton,Cavalry,0,3,FINISHED,Clarke Field
2022,2022-05-07T19:00:00Z,Valour,HFX Wanderers,0,0,FINISHED,Princess Auto Stadium
2022,2022-05-07T22:00:00Z,Atlético Ottawa,Pacific,0,1,FINISHED,TD Place Stadium
2022,2022-05-14T20:00:00Z,Forge,Atlético Ottawa,1,1,FINISHED,Hamilton Stadium
2022,2022-05-14T23:00:00Z,Pacific,Edmonton,2,1,FINISHED,Starlight Stadium
2022,2022-05-15T18:00:00Z,HFX Wanderers,Cavalry,2,2,FINISHED,Wanderers Grounds
2022,2022-05-15T21:00:00Z,Valour,York United,1,0,FINISHED,Princess Auto Stadium
2022,2022-05-20T22:00:00Z,HFX Wanderers,Forge,0,4,FINISHED,Wanderers Grounds
2022,2022-05-21T02:00:00Z,Pacific,York United,0,0,FINISHED,Starlight Stadium
2022,2022-05-21T19:30:00Z,Cavalry,Valour,2,1,FINISHED,ATCO Field
2022,2022-05-22T20:00:00Z,Edmonton,Atlético Ottawa,1,2,FINISHED,Clarke Field
2022,2022-05-28T23:00:00Z,Pacific,Valour,2,2,FINISHED,Starlight Stadium
2022,2022-05-29T18:00:00Z,York United,Cavalry,0,1,FINISHED,York Lions Stadium
2022,2022-06-01T01:00:00Z,Edmonton,Forge,3,4,FINISHED,Clarke Field
2022,2022-06-02T00:00:00Z,Valour,Atlético Ottawa,0,1,FINISHED,Princess Auto Stadium
2022,2022-06-04T18:00:00Z,HFX Wanderers,York United,1,0,FINISHED,Wanderers Grounds
2022,2022-06-05T17:00:00Z,Atlético Ottawa,Pacific,2,1,FINISHED,TD Place Stadium
2022,2022-06-05T20:00:00Z,Valour,Edmonton,1,1,FINISHED,Princess Auto Stadium
2022,2022-06-11T19:30:00Z,Cavalry,HFX Wanderers,1,0,FINISHED,ATCO Field
2022,2022-06-12T20:00:00Z,Forge,Pacific,3,0,FINISHED,Hamilton Stadium
2022,2022-06-14T23:00:00Z,Atlético Ottawa,York United,0,0,FINISHED,TD Place Stadium
2022,2022-06-15T02:00:00Z,Edmonton,HFX Wanderers,1,2,FINISHED,Clarke Field
2022,2022-06-16T00:00:00Z,Valour,Cavalry,2,4,FINISHED,Princess Auto Stadium
2022,2022-06-18T20:00:00Z,York United,Pacific,0,0,FINISHED,York Lions Stadium
2022,2022-06-19T18:00:00Z,HFX Wanderers,Forge,0,3,FINISHED,Wanderers Grounds
2022,2022-06-19T21:00:00Z,Edmonton,Atlético Ottawa,1,0,FINISHED,Clarke Field
2022,2022-06-25T21:00:00Z,Pacific,HFX Wanderers,0,3,FINISHED,Starlight Stadium
2022,2022-06-26T16:00:00Z,York United,Valour,1,3,FINISHED,York Lions Stadium
2022,2022-06-26T23:00:00Z,Cavalry,Edmonton,3,1,FINISHED,ATCO Field
2022,2022-06-29T23:00:00Z,Forge,Valour,0,1,FINISHED,Hamilton Stadium
2022,2022-06-30T22:30:00Z,HFX Wanderers,Atlético Ottawa,0,2,FINISHED,Wanderers Grounds
2022,2022-07-01T01:30:00Z,Pacific,Cavalry,3,3,FINISHED,Starlight Stadium
2022,2022-07-01T22:00:00Z,Edmonton,York United,3,0,FINISHED,Clarke Field
2022,2022-07-03T20:00:00Z,Forge,Atlético Ottawa,0,1,FINISHED,Hamilton Stadium
2022,2022-07-08T23:30:00Z,York United,Forge,0,2,FINISHED,York Lions Stadium
2022,2022-07-09T20:00:00Z,Edmonton,Pacific,2,3,FINISHED,Clarke Field
2022,2022-07-09T23:00:00Z,Atlético Ottawa,Cavalry,1,1,FINISHED,TD Place Stadium
2022,2022-07-10T19:00:00Z,Valour,HFX Wanderers,1,0,FINISHED,Princess Auto Stadium
2022,2022-07-15T00:30:00Z,Cavalry,HFX Wanderers,3,0,FINISHED,ATCO Field
2022,2022-07-15T23:30:00Z,York United,Pacific,2,4,FINISHED,York Lions Stadium
2022,2022-07-19T22:45:00Z,Forge,Edmonton,5,1,FINISHED,Hamilton Stadium
